Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,China,CHN,3240290,4568810.05859375,11385459.9609375,11878030.2734375,11938030.2734375,11818469.7265625,11800830.078125,12035269.53125,12471089.84375,12705089.84375,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Germany,DEU,1128090,957530.029296875,863679.992675781,880049.987792969,839190.002441406,843880.004882813,846940.002441406,829679.992675781,800960.021972656,749710.021972656,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Italy,ITA,483260,517320.007324219,454260.009765625,422299.987792969,402579.986572266,414250,409769.989013672,404500,398029.998779297,389000,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Japan,JPN,1181920,1276560.05859375,1336089.96582031,1348189.94140625,1305829.95605469,1270469.97070313,1261869.99511719,1246640.01464844,1204369.99511719,1166510.00976563,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,United States,USA,5834140,6787479.98046875,6011120.1171875,6152160.15625,6197430.17578125,6082160.15625,5974200.1953125,5918759.765625,6121629.8828125,6001209.9609375,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,United Kingdom,GBR,746350,685570.007324219,568539.978027344,551159.973144531,511660.003662109,496299.987792969,476540.008544922,461609.985351563,453429.992675781,440079.986572266,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 03/01/2023,,,,,,,,,,,,,,,
